question,model_answer,real_answer,model_answer_value,real_answer_value
"Mr. Sam shared a certain amount of money between his two sons, Ken and Tony. If Ken got $1750, and Tony got twice as much as Ken, how much was the money shared?"," We know that Tony got twice as much as Ken because 2 x Ken = <<2*Ken=Ken>>Ken
We know Tony got $5000 because Tony gets twice as much as Ken and Ken got $1750
Tony got $5000 + Ken = <<5000+Ken=Ken>>Ken
Tony got $5000 + $1750 = <<5000+1750=Ken>>Ken
Tony got $5000 + $1750 = <<5000+1750=Ken>>Ken
Tony got $5000 + $1750 = <<5000+1750=Ken>>Ken
Tony got $5000+1750
We know that total money","Tony got twice $1750 which is 2*$1750 = $<<2*1750=3500>>3500
The total amount shared was $1750+$3500 = $<<1750+3500=5250>>5250
The answer is 5250",1750,5250
Mr. Sanchez found out that 40% of his Grade 5  students got a final grade below B. How many of his students got a final grade of B and above if he has 60 students in Grade 5?," A student who gets a grade of B and above has a grade of >=B because <B is below B
The total number of students is 60 because 60 students in Grade 5
The total number of students who get a grade of B and above is 60 * 40/100 = <<60*40/100=60>>60
The percentage of students who get a grade of >=B is 60/(60+30) = <<60/(60+30)=60/30>>60/30
The percentage of students who get a grade of <B is 30/(60+30) = <<30/(60+30)=30/60","Since 40% of his students got below B, 100% - 40% = 60% of Mr. Sanchez's students got B and above.
Thus, 60 x 60/100 = <<60*60/100=36>>36 students got B and above in their final grade.
The answer is 36",60,36
"Lisa, Jack, and Tommy earned $60 from washing cars all week. However, half of the $60 was earned by Lisa. Tommy earned half of what Lisa earned. How much more money did Lisa earn than Tommy?"," Lisa earned $60 because 60 / 2 = <<60/2=30>>30
Tommy earned $60 because  60 / 2 = 30 / 2 = <<30/2=15>>15
Lisa earned $60 because 30 + 30 = <<30+30=60>>60
Lisa earned $60 because 30 / 2 = 15 / 2 = <<30/2=15>>15

A:","Lisa earned $60 * 1/2 = $<<60*1/2=30>>30.
Tommy earned $30 * 1/2 = $<<30*1/2=15>>15.
Lisa earned $30 - $15 = $<<30-15=15>>15 more than Tommy.
The answer is 15",15,15
Five friends eat at a fast-food chain and order the following: 5 pieces of hamburger that cost $3 each; 4 sets of French fries that cost $1.20; 5 cups of soda that cost $0.5 each; and 1 platter of spaghetti that cost $2.7. How much will each of them pay if they will split the bill equally?," The hamburger is 5 x 3 = <<5*3=15>>15
The French fries is 5 x 1.20 = <<5*.120=6>>6
The soda is 5 x.5 = <<5*.5=2>>2
The spaghetti is 5 x.97 = <<5*.970=3>>3
The total is 15 + 6 + 2 + 3 = <<15+6+2+3=28>>28
The answer is 28

Q:","The cost of 5 pieces of hamburger is $3 x 5 = $<<3*5=15>>15.
The cost of 4 sets of French fries is $1.20 x 4 = $<<1.20*4=4.80>>4.80.
The cost of 5 cups of soda is $0.5 x 5 = $<<0.5*5=2.50>>2.50.
So their total bill is $15 + $4.80 + $2.50 +$2.7 = $<<15+4.8+2.5+2.7=25>>25.
Hence, each of the five friends will contribute $25/5 = $<<25/5=5>>5.
The answer is 5",28,5
Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?," 12 x.125 = <<12*.125=1.5>>1.5
1.5 /.125 = <<1.5/.125=15>>15
1.5 x 15 = <<1.5*15=22.5>>22.5
22.5 / 8 = <<22/.125=3.125>>3.125
3.125 x 6 = <<.125*3.125=2>>2
2 x 1 = <<2*1=2>>2
The answer is 2

A:","She is making 72 ounces of water because 12 x 6 = <<12*6=72>>72
She needs 9 ounces of tea because 72 / 8 = <<72/8=9>>9
The answer is 9",2,9
"Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?"," Anna gets 14 candy pieces per house so she gets 14 * 60 = <<14*60=840>>840 pieces.
Billy gets 11 candy pieces per house so he gets 11 * 75 = <<11*75=895>>895 pieces.
Anna gets 840 - 895 = <<840-895=35>>35 pieces more than Billy.
The answer is 35

Q:","First find the total number of pieces of candy Anna gets: 14 pieces/house * 60 houses = 840 pieces
Then find the total number of pieces of candy Billy gets: 11 pieces/house * 75 houses = <<11*75=825>>825 pieces
Then subtract the number of pieces Billy gets from the number Anna gets to find the difference: 840 pieces - 825 pieces = <<840-825=15>>15 pieces
The answer is 15",35,15
A concert ticket costs $40. Mr. Benson bought 12 tickets and received a 5% discount for every ticket bought that exceeds 10. How much did Mr. Benson pay in all?," He paid a total of $400 because 40 + 12 * (5*5%) = <<40+12*5=400>>400
He paid $40 for the first ticket and he paid $40 for the second ticket and he paid $40 for the third ticket and he paid $40 for the fourth ticket and he paid $40 for the fifth ticket and he paid $40 for the sixth ticket and he paid $40 for the seventh ticket and he paid $40 for the eighth ticket and he paid $40 for the ninth ticket and he paid $40 for the tenth ticket and he paid $40 for the eleventh ticket and he paid $","Mr. Benson had a 5% discount for each of the 12 - 10 = <<12-10=2>>2 tickets.
So, those two tickets had a $40 x 5/100 = $<<40*5/100=2>>2 discount each.
Hence, each ticket cost $40 - $2 = $<<40-2=38>>38 each.
Thus, two discounted tickets amount to $38 x 2 = $<<38*2=76>>76.
And the other ten tickets amount to $40 x 10 = $<<40*10=400>>400.
Hence, Mr. Benson paid a total of $400 + $76 = $<<400+76=476>>476.
The answer is 476",40,476
Rachel and Sara want to attend a beauty and modeling contest. They both want to buy new pairs of shoes and dresses. Sara buys a pair of shoes which costs $50 and a dress which costs $200. How much should Rachel budget if she wants to spend twice as much as what Sara spent on the pair of shoes and dress?," The total cost of the shoes and dresses, including the cost of Sara's shoes and dress, is $200 + $50 = <<200+50=250>>250
The cost of Rachel's shoes and dress should be 250 x 2 = <<250*2=550>>550
The answer is 550

Q:","The cost Rachel should budget for her pair of shoes is $50 * 2 = $<<50*2=100>>100.
The cost Rachel should budget for her dress is $200 * 2 = $<<200*2=400>>400.
The total Rachel should budget is $100 + $400 = $<<100+400=500>>500.
The answer is 500",550,500
"A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?"," The monkeys in each pile have a total of 14 + 9 = <<14+9=24>>24
24 * 12 = <<24*12=288>>288
288 / 6 = <<288/6=48>>48
48 * 9 hands = <<48*9=432>>432
432 / 9 hands = <<432/9=48>>48
48 * 14 bananas = <<48*14=568>>568
568/12 = <<568/12=52>>52
52 * 6 piles = <<52*6=268>>268
268 / 9 hands = <<268/9=30>>30
30 * 12 hands =","The first 6 bunches had 6 x 9 x 14 = <<6*9*14=756>>756 bananas.
There were 10 - 6 = <<10-6=4>>4 remaining bunches.
The 4 remaining bunches had 4 x 12 x 9 = <<4*12*9=432>>432 bananas.
All together, there were 756 + 432 = <<756+432=1188>>1188 bananas
Each monkey would get 1188/12 = <<1188/12=99>>99 bananas.
The answer is 99",12,99
"An earthquake caused four buildings to collapse. Experts predicted that each following earthquake would have double the number of collapsing buildings as the previous one, since each one would make the foundations less stable. After three more earthquakes, how many buildings had collapsed including those from the first earthquake?"," The first earthquake caused the collapse of 4 buildings, so the second earthquake caused the collapse of 8 buildings.
The third earthquake caused the collapse of 16 buildings, so the fourth earthquake caused the collapse of 32 buildings.
The answer is 32

A:","The second earthquake caused 2 * 4 = <<2*4=8>>8 buildings to collapse.
The third earthquake caused 2 * 8 = <<2*8=16>>16 buildings to collapse.
The fourth earthquake caused 16 * 2 = <<16*2=32>>32 buildings to collapse.
Including the first earthquake, the earthquakes caused 4 + 8 + 16 + 32 = <<4+8+16+32=60>>60 buildings to collapse.
The answer is 60",32,60
"James is a first-year student at a University in Chicago. He has a budget of $1000 per semester. He spends 30% of his money on food, 15% on accommodation, 25% on entertainment, and the rest on coursework materials. How much money does he spend on coursework materials?"," First, the amount of money that is spent on coursework materials:
The 30% of the $1000 that is spent on food = <<30%*1000=300>>300
The 15% of the $1000 that is spent on accommodation = <<15%*1000=150>>150
The 25% of the $1000 that is spent on entertainment = <<25%*1000=250>>250
The rest of the $1000 is spent on coursework materials = <<(1-.30-.15-.25)*1000=600>>600
The answer is 600

A:","Accommodation is 15% * $1000=$<<15*.01*1000=150>>150
Food is          30% * $1000=$<<30*.01*1000=300>>300
Entertainment is   25% * $1000=$<<25*.01*1000=250>>250
Coursework materials are thus $1000-($150+$300+$250) = $300
The answer is 300",600,300
"It's Ava's birthday party. Her parents bought a unicorn piñata for $13 and filled it with all of her favorite treats. They bought 4 bags of Reese's for $9 per bag, 3 bags of Snickers for $5 per bag, and 5 bags of Skittles for $7 per bag. How much did the unicorn piñata and the treats cost altogether?"," The Reese's costs $9 * 4 bags = <<4*9=36>>36
The Snickers costs 5 bags * $5 = <<5*5=25>>25
The Skittles costs 7 bags * $7 = <<7*7=49>>49
The total is $36 + 25 + 49 = <<36+25+49=106>>106

A:","The four bags of Reese's cost $9 x 4 = $<<9*4=36>>36.
The three bags of Snickers cost $5 x 3 = $<<5*3=15>>15.
The five bags of Skittles cost $7 x 5 = $<<7*5=35>>35.
Therefore, the unicorn piñata and the treats cost $13 + $36 + $15 + $35 = $<<13+36+15+35=99>>99.
The answer is 99",106,99
"Carolyn practices the piano for 20 minutes a day and the violin for three times as long. If she practice six days a week, how many minutes does she spend practicing in a month with four weeks?"," 20 minutes * 30 days = <<20*30=600>>600 minutes
3 times as long is <<3*600=1800>>1800 minutes
She is practicing 6 days a week, so the total time she spends practicing is <<1800+600=2400>>2400 minutes
She is practicing for 4 weeks, so the total time spent practicing is <<2400/.4/.4=464>>464 minutes
The answer is 464

A:","First find Carolyn's total violin practice time by tripling her piano practice time: 20 minutes/day * 3 = <<20*3=60>>60 minutes/day
Then find the total amount of time she spends practicing each day: 60 minutes/day + 20 minutes/day = <<60+20=80>>80 minutes/day
Then find the total time she spends practicing each week: 80 minutes/day * 6 days/week = <<80*6=480>>480 minutes/week
Then find the total time she spends practicing each month: 480 minutes/week * 4 weeks/month = <<480*4=1920>>1920 minutes/month
The answer is 1920",464,1920
"The file, 90 megabytes in size, downloads at the rate of 5 megabytes per second for its first 60 megabytes, and then 10 megabytes per second thereafter. How long, in seconds, does it take to download entirely?"," The first 60 megabytes is 60 x 5 = <<60*5=300>>300
The seconds it takes to download the first 60 megabytes is 300 x 60 = <<300x60=18000>>18000
The second 60 megabytes is 60 x 10 = <<60*10=600>>600
The seconds it takes to download the second 60 megabytes is 600 x 60 = <<600x60=36000>>36000
The seconds it takes to download the entire file is 18000 + 36000 = <<18000+36000=54000>>54000
The answer is 54000

","The first 60 megabytes take 60/5=<<60/5=12>>12 seconds.
There are 90-60=<<90-60=30>>30 remaining megabytes.
The remaining 30 megabytes take 30/10=<<30/10=3>>3 seconds.
And 12+3=<<12+3=15>>15 seconds.
The answer is 15",54000,15
"Sam memorized six more digits of pi than Carlos memorized. Mina memorized six times as many digits of pi as Carlos memorized. If Mina memorized 24 digits of pi, how many digits did Sam memorize?"," Carlos's digits = <<6>>6
Mina's digits = <<6>>6 x <<6>>6
Sam's digits = <<24>>24 - <<24>>24
Sam's digits = <<24>>24 - <<24>>24
Sam's digits = <<0>>0
Sam's digits = <<0>>0
Sam's digits = <<0>>0

A:","Carlos memorized 24/6=<<24/6=4>>4 digits of pi.
Sam memorized 4+6=10 digits of pi.
The answer is 10",0,10
"On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?"," Alan collected 4 * 36 = <<4*36=144>>144 shell
Ben collected 3 * 36 = <<3*36=108>>108 shell
Laurie collected 36 shell
Alan collected 144 shell - 108 shell = <<144-108=46>>46 shell
The answer is 46

A:","Ben collected 36/3=<<36/3=12>>12 shells
Alan collected 12*4=<<12*4=48>>48 shells
The answer is 48",46,48
"Gerald spends $100 a month on baseball supplies. His season is 4 months long. He wants to use the months he's not playing baseball to save up by raking, shoveling, and mowing lawns. He charges $10 for each. How many chores does he need to average a month to save up for his supplies?"," Gerald's money a month is 100 - 30 = <<100-30=70>>70
His money 4 months is 70 * 4 = <<70*4=280>>280
His total money is 280 + 10 = <<280+10=280>>280
His total chores is 280 * 4 = <<280*4=880>>880
His average chores a month is 880 / 4 = <<880/4=240>>240
The answer is 240

A:","He needs to save up $400 because 4 x 100 = <<4*100=400>>400
He has 8 months to earn this money because 12 - 4 = <<12-4=8>>8
He needs to earn $50 a month because 400 / 8 = <<400/8=50>>50
He needs to do 5 tasks a month because 50 / 10 = <<50/10=5>>5
The answer is 5",240,5
"Ann is cutting fabric to make curtains. She cuts a 4 foot by 6 foot rectangle for the living room, and a 2 foot by 4 foot rectangle for the bedroom. If the bolt of fabric is 16 feet by 12 feet, how much fabric is left in square feet?"," The living room is 6 x 4 = <<6*4=24>>24
The bedroom is 2 x 4 = <<2*4=8>>8
So the total square feet of fabric is 24 + 8 = <<24+8=32>>32
The answer is 32

A:","First figure out how many square feet the original bolt of fabric was: 16 feet * 12 feet = <<16*12=192>>192 square feet
Then figure out how much fabric Ann took for the living room curtains: 4 feet * 6 feet = <<4*6=24>>24 square feet
Then figure out how much fabric Ann took for the bathroom curtains: 2 feet * 4 feet = <<2*4=8>>8 square feet
Finally, subtract the square footage of both sets of curtains from the total square footage: 192 - 24 - 8 = <<192-24-8=160>>160 square feet
The answer is 160",32,160
"Arnel had ten boxes of pencils with the same number of pencils in each box.  He kept ten pencils and shared the remaining pencils equally with his five friends. If his friends got eight pencils each, how many pencils are in each box?"," The total number of pencils is 10 + 8 * 5 = <<10+8*5=45>>45
The total number of pencils is 10 + 8 * 5 = <<10+8*5=45>>45
The number of pencils in each box is 45 / 10 = <<45/10=4.5>>4.5
The number of pencils in each box is 4.5
The answer is 4.5

Q:","Arnel shared 5 x 8 = <<5*8=40>>40 pencils with his friends.
So, he had 10 + 40 = <<10+40=50>>50 pencils in all.
Therefore, each box had 50/10 = <<50/10=5>>5 pencils inside.
The answer is 5",5,5
Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?," Caleb spent 10 x 4 = <<10*4=40>>40
And he spent 4 x 1 = <<4*1=4>>4
The answer is 40 + 4 = <<40+4=44>>44

A:","The cost of the ice cream is 10 × $4 = $<<10*4=40>>40.
The cost of the frozen yoghurt is 4 × $1 = $<<4*1=4>>4.
Caleb spent $40 − $4 = $36 more on ice cream than on frozen yogurt.
The answer is 36",44,36
Leah earned $28 working odd jobs around the neighborhood. She spent a seventh of it on a milkshake and put half of the rest in her savings account. She left the remaining money in her wallet. Her dog got ahold of her wallet and shredded all the money inside but $1. How many dollars did Leah lose?," Leah lost $28 because 28 - <<28-1=27>>27
She spent a seventh of it on the milkshake because 7 * 1 = <<7*1=7>>7
She spent half of the rest in her savings account because 27 / 2 = <<27/2=14>>14
She left $1 because 27 - 14 = <<27-14=13>>13
Her wallet was shredded because 13 /.9 = <<13/9=1.9>>1.9
She lost 1 dollar because 1 /.9 = <<1.9/9=.19>>.19
The answer is.19

Q:","Leah spent 28 / 7 = $<<28/7=4>>4 on a milkshake.
She had 28 - 4 = $<<28-4=24>>24 left.
She put half in her savings account and half in her wallet, so she had 24 / 2 = $<<24/2=12>>12 in her wallet.
Her dog shredded all the money in her wallet but $1, so Leah lost 12 - 1 = $<<12-1=11>>11.
The answer is 11",19,11
There are 25 roses in a garden. There are 40 tulips. There are 35 daisies. What percentage of flowers are not roses?," <<40+25+35=105>>105
Tulips are 40 of 105 = <<105-40=65>>65
Daisies are 35 of 105 = <<105-35=70>>70
The answer is 70

A:","There are 25+40+35=<<25+40+35=100>>100 flowers total.
There are 40+35=<<40+35=75>>75 flowers that are not roses.
Therefore, (75/100)*100=<<(75/100)*100=75>>75% of the flowers are not roses.
The answer is 75",70,75
"Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?"," Leo finished the first part of his assignment in 25 minutes because <<25>>25
He finished the second part of the assignment in 50 minutes because <<25*2>>50
He finished the third part of the assignment in 75 minutes because <<25*3>>75
The answer is 75

Q:","It took Leo 25 x 2 = <<25*2=50>>50 minutes to finish the second part of the assignment.
Leo finished the first and second parts of the assignment in 25 + 50 = <<25+50=75>>75 minutes.
He finished the entire assignment in 60 x 2 = <<60*2=120>>120 minutes.
Therefore, it took Leo 120 - 75 = <<120-75=45>>45 minutes to finish the third part of the assignment.
The answer is 45",75,45
"Liza bought 10 kilograms of butter to make cookies. She used one-half of it for chocolate chip cookies, one-fifth of it for peanut butter cookies, and one-third of the remaining butter for sugar cookies. How many kilograms of butter are left after making those three kinds of cookies?"," The total kilograms of butter are 10 because 10 x 1 = <<10*1=10>>10
One-half of it is 5 kilograms because 10 x.5 = <<10*.5=5>>5
One-fifth of it is 2 kilograms because 10 x.2 = <<10*.2=.2>>.2
One-third of the remaining butter is 3 kilograms because 10 x.3 = <<10*.3=.3>>.3
The answer is 3 kilograms

Q:","Liza used 10/2 = <<10/2=5>>5 kilograms of butter for the chocolate chip cookies.
Then, she used 10/5 = <<10/5=2>>2 kilograms of butter for the peanut butter cookies.
She used 5 + 2 = <<5+2=7>>7 kilograms of butter for the chocolate and peanut butter cookies.
So, only 10 -7 = <<10-7=3>>3 kilograms of butter was left.
Then, Liza used 3/3 = <<3/3=1>>1 kilograms of butter for the sugar cookies.
Therefore, only 3-1 = <<3-1=2>>2 kilograms of butter were left.
The answer is 2",3,2
"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?"," The total amount of money the students get in a day is  because  students get 6 and the rest get 4, so 60 x 6 + 60 x 4 = <<60*6+60*4=240>>240
The answer is 240

This is the final part of the puzzle. The first part has been posted.

A:","There are 60 students x 2/3 = <<60*2/3=40>>40 students who have a $6 daily allowance.
While there are 60 students - 40 students = <<60-40=20>>20 students who have a $4 daily allowance.
The sum of the allowances of the 40 students who received $6 daily is 40 students x $6/day = $<<40*6=240>>240.
The sum of the allowances of the 20 students who received $4 daily is 20 students x $4/day = $<<20*4=80>>80.
The total daily amount of money of those 60 students is $240 + $80 = $<<240+80=320>>320.
The answer is 320",240,320
"Every hour Joanne has to collect the coins out of the fountain inside the mall. During the first hour, she collected 15 coins. For the next two hours, she collected 35 coins from the fountain. In the fourth hour, she collected 50 coins from the fountain but she gave 15 of them to her coworker so she could buy a soda. How many coins did she have after the fourth hour?"," She had 15 because 15 + 35 + 50 = <<15+35+50=80>>80
Of the 80 coins, she collected 30 coins from the fountain so she has 50 coins left.
She gave 15 coins so she has 35 coins left
She gave 15 coins to a coworker so she has 20 coins left
She collected 50 coins from the fountain so she has 35 coins left
She has 35 coins left so she collects 35 coins from the fountain
She has 30 coins left so she gives 15 coins to a coworker
The number of coins she had is <<35+35+35+30","15 coins collected in hour one
35 coins collected in hour two
35 coins collected in hour three
50 coins collected in hour four
Before giving her coworker some coins there were 15+35+35+50=<<15+35+35+50=135>>135 coins
The number of coins after given 15 to her coworker is 135-15=<<135-15=120>>120
The answer is 120",30,120
